annotation	n_in	mrmp_neg	mrmp_pos	out_group	in_group
Epith	27	P1686	NA	COMPLEMENT	bladder_epi,breast_basal_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_BrstBasal,Epi_Duc,Epi_Endcri,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,hepatocyte,kidney_epi,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_alpha,pancreas_beta,pancreas_delta,pancreas_duct,prostate_epi,thyroid_epi,tongue_epi
Epith_NoHepa	26	P846	NA	COMPLEMENT	bladder_epi,breast_basal_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_BrstBasal,Epi_Duc,Epi_Endcri,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,kidney_epi,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_alpha,pancreas_beta,pancreas_delta,pancreas_duct,prostate_epi,thyroid_epi,tongue_epi
Epith_NoHepaKidney	25	P2333	NA	COMPLEMENT	bladder_epi,breast_basal_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_BrstBasal,Epi_Duc,Epi_Endcri,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_alpha,pancreas_beta,pancreas_delta,pancreas_duct,prostate_epi,thyroid_epi,tongue_epi
Epith_NoBasalThy	24	P2488	NA	COMPLEMENT	bladder_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_Duc,Epi_Endcri,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,hepatocyte,kidney_epi,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_alpha,pancreas_beta,pancreas_delta,pancreas_duct,prostate_epi,tongue_epi
Epith_NoHepaBasal	24	P1965	NA	COMPLEMENT	bladder_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_Duc,Epi_Endcri,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,kidney_epi,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_alpha,pancreas_beta,pancreas_delta,pancreas_duct,prostate_epi,thyroid_epi,tongue_epi
Epith_Exocrine	22	P544	NA	COMPLEMENT	bladder_epi,breast_basal_epi,breast_luminal_epi,endometrium_epi,Epi_Aci,Epi_Alv,Epi_BrstBasal,Epi_Duc,Epi_Ent,Epi_Gas,Epi_Krt_Lum,Fallopian_epi,gastric_epithelial,kidney_epi,lower_GI_epi,lung_alveolar_epi,lung_bronchus_epi,pancreas_acinar,pancreas_duct,prostate_epi,thyroid_epi,tongue_epi
Hema_Microglia	20	P40	P135	COMPLEMENT	B_cell,BP_BCell,BP_DendriticCell,BP_Macrophage,BP_Monocyte,BP_Neutrophil,BP_NKCell,BP_TCell_CD4,BP_TCell_CD8,granulocyte,Hema_B,Hema_Mast,Hema_Myeloid,Hema_NK,Hema_Tmem,Hema_Tnaive,mononuc_phago,NK_cell,T_cell,Tian_MGC
Hema	19	P126	P124	COMPLEMENT	B_cell,BP_BCell,BP_DendriticCell,BP_Macrophage,BP_Monocyte,BP_Neutrophil,BP_NKCell,BP_TCell_CD4,BP_TCell_CD8,granulocyte,Hema_B,Hema_Mast,Hema_Myeloid,Hema_NK,Hema_Tmem,Hema_Tnaive,mononuc_phago,NK_cell,T_cell
Neural	17	P1354	P963	COMPLEMENT	cortex_neuron,Glia_Astro,Glia_Oligo,Neu_Exc,Neu_Inh,Neu_Schw,oligodendrocyte,Tian_ASC,Tian_Lamp5,Tian_MSN,Tian_Neu_Exc,Tian_Neu_NonTelenceph,Tian_ODC,Tian_OPC,Tian_Pvalb,Tian_Sst,Tian_Vip
Neural_CNS	16	P624	P228	COMPLEMENT	cortex_neuron,Glia_Astro,Glia_Oligo,Neu_Exc,Neu_Inh,oligodendrocyte,Tian_ASC,Tian_Lamp5,Tian_MSN,Tian_Neu_Exc,Tian_Neu_NonTelenceph,Tian_ODC,Tian_OPC,Tian_Pvalb,Tian_Sst,Tian_Vip
