sample_name	pseudobulk_name	source
GSM5652316_Blood-B-Z000000TX	B_cell	Loyfer
GSM5652317_Blood-B-Z000000UB	B_cell	Loyfer
GSM5652318_Blood-B-Z000000UR	B_cell	Loyfer
GSM5652279_Blood-T-CD4-Z000000TT	T_cell	Loyfer
GSM5652280_Blood-T-CD4-Z000000U7	T_cell	Loyfer
GSM5652281_Blood-T-CD4-Z000000UM	T_cell	Loyfer
GSM5652282_Blood-T-CD8-Z000000TR	T_cell	Loyfer
GSM5652283_Blood-T-CD8-Z000000U5	T_cell	Loyfer
GSM5652284_Blood-T-CD8-Z000000UK	T_cell	Loyfer
GSM5652299_Blood-NK-Z000000TM	NK_cell	Loyfer
GSM5652300_Blood-NK-Z000000U1	NK_cell	Loyfer
GSM5652301_Blood-NK-Z000000UF	NK_cell	Loyfer
GSM5652313_Blood-Granulocytes-Z000000TZ	granulocyte	Loyfer
GSM5652314_Blood-Granulocytes-Z000000UD	granulocyte	Loyfer
GSM5652315_Blood-Granulocytes-Z000000UT	granulocyte	Loyfer
GSM5652302_Blood-Monocytes-Z000000TP	mononuc_phago	Loyfer
GSM5652303_Blood-Monocytes-Z000000U3	mononuc_phago	Loyfer
GSM5652304_Blood-Monocytes-Z000000UH	mononuc_phago	Loyfer
GSM5652305_Colon-Macrophages-Z00000444	mononuc_phago	Loyfer
GSM5652306_Colon-Macrophages-Z00000446	mononuc_phago	Loyfer
GSM5652307_Liver-Macrophages-Z0000043P	mononuc_phago	Loyfer
GSM5652308_Lung-Alveolar-Macrophages-Z00000448	mononuc_phago	Loyfer
GSM5652309_Lung-Alveolar-Macrophages-Z0000044C	mononuc_phago	Loyfer
GSM5652310_Lung-Interstitial-Macrophages-Z00000447	mononuc_phago	Loyfer
GSM5652311_Lung-Interstitial-Macrophages-Z0000044D	mononuc_phago	Loyfer
GSM5652312_Lung-Interstitial-Macrophages-Z0000044E	mononuc_phago	Loyfer
GSM5652365_Gastric-antrum-Epithelial-Z000000SF	gastric_epithelial	Loyfer
GSM5652366_Gastric-antrum-Epithelial-Z000000SP	gastric_epithelial	Loyfer
GSM5652367_Gastric-antrum-Epithelial-Z000000SR	gastric_epithelial	Loyfer
GSM5652362_Gastric-body-Epithelial-Z000000SD	gastric_epithelial	Loyfer
GSM5652363_Gastric-body-Epithelial-Z000000SM	gastric_epithelial	Loyfer
GSM5652364_Gastric-body-Epithelial-Z000000ST	gastric_epithelial	Loyfer
GSM5652359_Gastric-fundus-Epithelial-Z000000RX	gastric_epithelial	Loyfer
GSM5652360_Gastric-fundus-Epithelial-Z000000SK	gastric_epithelial	Loyfer
GSM5652361_Gastric-fundus-Epithelial-Z000000SV	gastric_epithelial	Loyfer
GSM5652271_Endometrium-Epithelial-Z00000434	endometrium_epi	Loyfer
GSM5652272_Endometrium-Epithelial-Z00000435	endometrium_epi	Loyfer
GSM5652273_Endometrium-Epithelial-Z0000043S	endometrium_epi	Loyfer
GSM5652267_Fallopian-Epithelial-Z000000Q7	Fallopian_epi	Loyfer
GSM5652268_Fallopian-Epithelial-Z000000S9	Fallopian_epi	Loyfer
GSM5652269_Fallopian-Epithelial-Z000000UV	Fallopian_epi	Loyfer
GSM5652256_Kidney-Glomerular-Epithelial-Z0000045K	kidney_epi	Loyfer
GSM5652257_Kidney-Glomerular-Epithelial-Z0000045L	kidney_epi	Loyfer
GSM5652258_Kidney-Tubular-Epithelial-Z000000QH	kidney_epi	Loyfer
GSM5652259_Kidney-Tubular-Epithelial-Z0000043Z	kidney_epi	Loyfer
GSM5652260_Kidney-Tubular-Epithelial-Z00000440	kidney_epi	Loyfer
GSM5652261_Kidney-Glomerular-Podocytes-Z0000042W	kidney_epi	Loyfer
GSM5652262_Kidney-Glomerular-Podocytes-Z00000441	kidney_epi	Loyfer
GSM5652263_Kidney-Glomerular-Podocytes-Z00000442	kidney_epi	Loyfer
GSM5652373_Colon-Left-Epithelial-Z000000VA	lower_GI_epi	Loyfer
GSM5652376_Colon-Left-Epithelial-Z0000043B	lower_GI_epi	Loyfer
GSM5652377_Colon-Left-Epithelial-Z0000043C	lower_GI_epi	Loyfer
GSM5652370_Colon-Right-Epithelial-Z000000V0	lower_GI_epi	Loyfer
GSM5652371_Colon-Right-Epithelial-Z000000V8	lower_GI_epi	Loyfer
GSM5652378_Small-int-Epithelial-Z0000042V	lower_GI_epi	Loyfer
GSM5652379_Small-int-Epithelial-Z000000RT	lower_GI_epi	Loyfer
GSM5652380_Small-int-Epithelial-Z000000UW	lower_GI_epi	Loyfer
GSM5652381_Small-int-Epithelial-Z000000UY	lower_GI_epi	Loyfer
GSM5652342_Bladder-Epithelial-Z000000QM	bladder_epi	Loyfer
GSM5652343_Bladder-Epithelial-Z000000QP	bladder_epi	Loyfer
GSM5652344_Bladder-Epithelial-Z0000043F	bladder_epi	Loyfer
GSM5652345_Bladder-Epithelial-Z0000044L	bladder_epi	Loyfer
GSM5652346_Bladder-Epithelial-Z00000450	bladder_epi	Loyfer
GSM5652350_Breast-Basal-Epithelial-Z000000V6	breast_basal_epi	Loyfer
GSM5652351_Breast-Basal-Epithelial-Z000000VG	breast_basal_epi	Loyfer
GSM5652352_Breast-Basal-Epithelial-Z000000VL	breast_basal_epi	Loyfer
GSM5652353_Breast-Basal-Epithelial-Z0000043E	breast_basal_epi	Loyfer
GSM5652347_Breast-Luminal-Epithelial-Z000000V2	breast_luminal_epi	Loyfer
GSM5652348_Breast-Luminal-Epithelial-Z000000VJ	breast_luminal_epi	Loyfer
