label	category	lineage	direction	n_mrmp	n_hm450_probes
Neu_Exc-	specific	Neural	-	1	628
hepatocyte-	specific	Epith	-	1	546
skeletal_muscle-	specific	Mesench	-	2	539
Glia_Astro-	specific	Neural	-	1	496
Epi_AdrCtx-	specific	Adrenal	-	1	464
panHema-	broad	Hema	-	16	452
lower_GI_epi-	specific	Epith	-	3	437
oligodendrocyte-	specific	Neural	-	3	404
Neu_Inh+	specific	Neural	+	1	379
tongue_epi-	specific	Epith	-	1	375
pancreas_acinar-	specific	Epith	-	1	374
endometrium_epi-	specific	Epith	-	1	365
subNeural_neuronal+	subgroup	Neural	+	4	342
Mus_Crd-	specific	Mesench	-	1	300
thyroid_epi-	specific	Epith	-	1	298
Endo_Lym-	specific	Mesench	-	1	293
breast_basal_epi-	specific	Epith	-	1	290
B_cell-	specific	Hema	-	3	281
panHema+	broad	Hema	+	4	272
granulocyte-	specific	Hema	-	1	266
gastric_epithelial-	specific	Epith	-	2	232
lower_GI_epi+	specific	Epith	+	2	227
hepatocyte+	specific	Epith	+	1	226
Hema_Mast-	specific	Hema	-	1	223
lung_alveolar_epi-	specific	Epith	-	2	197
Fibro_EndN-	specific	Mesench	-	1	192
Fallopian_epi-	specific	Epith	-	1	176
bladder_epi-	specific	Epith	-	1	158
subMesench_endothelial-	subgroup	Mesench	-	3	149
Fibro_Brst-	specific	Mesench	-	1	142
lung_bronchus_epi-	specific	Epith	-	1	133
Epi_AdrCtx+	specific	Adrenal	+	1	121
pancreas_acinar+	specific	Epith	+	1	119
skeletal_muscle+	specific	Mesench	+	2	119
NK_cell-	specific	Hema	-	1	110
Neu_Schw-	specific	Neural	-	1	108
kidney_epi-	specific	Epith	-	1	103
Perivascular-	specific	Mesench	-	1	101
breast_basal_epi+	specific	Epith	+	1	100
subNeural_neuronal-	subgroup	Neural	-	1	93
subEpith_GI-	subgroup	Epith	-	2	90
T_cell-	specific	Hema	-	3	88
Fibro_Myo-	specific	Mesench	-	1	87
Neu_Exc+	specific	Neural	+	1	83
subNeural_glial-	subgroup	Neural	-	2	82
endometrium_epi+	specific	Epith	+	1	71
subHema_lymphoid-	subgroup	Hema	-	3	71
endothelial_cell-	specific	Mesench	-	2	62
heart_fibroblast-	specific	Mesench	-	2	60
Fibro_Brst+	specific	Mesench	+	1	56
Fibro_Sk-	specific	Mesench	-	1	54
bladder_epi+	specific	Epith	+	1	53
Fibro_Mus-	specific	Mesench	-	1	53
pancreas_duct-	specific	Epith	-	1	50
T_cell+	specific	Hema	+	2	47
Fibro_EpiN-	specific	Mesench	-	1	41
pancreas_beta-	specific	Epith	-	1	41
Mus_Crd+	specific	Mesench	+	1	40
panNeural-	broad	Neural	-	13	38
mononuc_phago-	specific	Hema	-	1	37
subMesench_skeletal-	subgroup	Mesench	-	9	36
Glia_Astro+	specific	Neural	+	1	35
pancreas_alpha-	specific	Epith	-	1	35
subHema_myeloid-	subgroup	Hema	-	1	35
Endo_Lym+	specific	Mesench	+	1	33
oligodendrocyte+	specific	Neural	+	1	32
panNeural+	broad	Neural	+	7	31
breast_luminal_epi-	specific	Epith	-	1	27
pancreas_delta-	specific	Epith	-	1	23
lung_bronchus_epi+	specific	Epith	+	1	20
subHema_lymphoid+	subgroup	Hema	+	1	17
thyroid_epi+	specific	Epith	+	1	17
tongue_epi+	specific	Epith	+	1	17
prostate_epi-	specific	Epith	-	1	15
subMesench_endothelial+	subgroup	Mesench	+	1	14
Neu_Inh-	specific	Neural	-	1	12
panEpith-.ELF3_chr1_202005002	broad	Epith	-	0	8
panEpith-.MIR200C_chr12_6961406	broad	Epith	-	0	8
panEpith-.CNKSR1_chr1_26177441	broad	Epith	-	0	5
panEpith-.SULT2B1_chr19_48552154	broad	Epith	-	0	4
panEpith-.ITGB6_chr2_160200088	broad	Epith	-	0	3
panEpith-.MIR200BA_chr1_1160292_exclBasal	broad	Epith	-	0	3
panEpith-.AC127526_chr11_3477023	broad	Epith	-	0	2
panEpith-.AP003498_chr11_71745900	broad	Epith	-	0	2
panEpith-.DAGLB_chr7_6485366	broad	Epith	-	0	2
panEpith-.MIR200BA_chr1_1160292_inclBasal	broad	Epith	-	0	2
panEpith-.KSR1_chr17_27495029	broad	Epith	-	0	1
panEpith-.TBC1D8_chr2_101251893	broad	Epith	-	0	1
